Id,SalePrice
1461,"$124,046.22"
1462,"$156,684.95"
1463,"$175,497.05"
1464,"$183,119.81"
1465,"$196,838.73"
1466,"$183,129.86"
1467,"$170,349.78"
1468,"$175,794.41"
1469,"$178,157.39"
1470,"$127,060.53"
1471,"$185,488.89"
1472,"$97,255.53"
1473,"$99,753.74"
1474,"$150,537.62"
1475,"$121,339.01"
1476,"$379,293.06"
1477,"$271,478.12"
1478,"$307,150.97"
1479,"$304,007.09"
1480,"$477,477.44"
1481,"$313,054.88"
1482,"$214,466.53"
1483,"$181,119.58"
1484,"$170,905.55"
1485,"$177,959.12"
1486,"$202,728.56"
1487,"$326,737.00"
1488,"$238,274.17"
1489,"$208,237.89"
1490,"$207,318.39"
1491,"$192,312.23"
1492,"$109,704.25"
1493,"$167,500.47"
1494,"$316,118.50"
1495,"$292,330.22"
1496,"$228,643.92"
1497,"$196,083.80"
1498,"$155,594.92"
1499,"$155,154.45"
1500,"$166,891.64"
1501,"$176,033.03"
1502,"$161,912.19"
1503,"$256,647.77"
1504,"$232,494.42"
1505,"$219,270.11"
1506,"$191,845.17"
1507,"$233,303.95"
1508,"$197,742.33"
1509,"$166,106.89"
1510,"$151,901.61"
1511,"$149,622.89"
1512,"$166,266.67"
1513,"$149,479.45"
1514,"$153,994.16"
1515,"$179,169.75"
1516,"$153,707.52"
1517,"$150,584.84"
1518,"$133,009.61"
1519,"$205,997.69"
1520,"$138,541.89"
1521,"$144,241.97"
1522,"$162,324.84"
1523,"$121,259.82"
1524,"$124,983.27"
1525,"$123,893.12"
1526,"$127,041.67"
1527,"$106,987.28"
1528,"$130,421.55"
1529,"$143,706.50"
1530,"$160,058.22"
1531,"$128,891.69"
1532,"$105,395.80"
1533,"$139,531.06"
1534,"$118,029.30"
1535,"$143,946.84"
1536,"$117,257.02"
1537,"$85,165.73"
1538,"$169,040.67"
1539,"$216,019.25"
1540,"$121,496.41"
1541,"$142,136.02"
1542,"$141,887.58"
1543,"$179,104.25"
1544,"$87,047.90"
1545,"$102,809.23"
1546,"$121,830.66"
1547,"$135,565.48"
1548,"$134,418.58"
1549,"$111,809.50"
1550,"$140,076.59"
1551,"$118,249.54"
1552,"$133,665.83"
1553,"$144,074.05"
1554,"$114,410.60"
1555,"$177,029.36"
1556,"$121,969.88"
1557,"$126,005.85"
1558,"$96,864.20"
1559,"$121,745.01"
1560,"$142,953.09"
1561,"$151,363.95"
1562,"$127,164.26"
1563,"$126,213.48"
1564,"$158,737.45"
1565,"$152,039.88"
1566,"$224,798.16"
1567,"$91,118.18"
1568,"$224,345.75"
1569,"$139,192.28"
1570,"$127,043.98"
1571,"$127,518.46"
1572,"$136,418.58"
1573,"$210,199.83"
1574,"$128,810.20"
1575,"$207,153.91"
1576,"$219,974.62"
1577,"$200,018.17"
1578,"$153,531.38"
1579,"$143,903.86"
1580,"$187,215.25"
1581,"$140,507.27"
1582,"$130,747.07"
1583,"$299,665.34"
1584,"$235,756.75"
1585,"$143,401.28"
1586,"$76,544.55"
1587,"$103,248.48"
1588,"$145,366.89"
1589,"$102,436.82"
1590,"$132,025.67"
1591,"$102,572.15"
1592,"$126,448.65"
1593,"$118,606.71"
1594,"$133,760.00"
1595,"$131,541.81"
1596,"$231,035.56"
1597,"$189,185.72"
1598,"$197,588.70"
1599,"$172,404.75"
1600,"$175,249.09"
1601,"$76,487.87"
1602,"$110,360.10"
1603,"$94,889.05"
1604,"$291,520.75"
1605,"$239,614.83"
1606,"$165,363.95"
1607,"$179,203.92"
1608,"$223,093.77"
1609,"$194,868.98"
1610,"$164,673.41"
1611,"$147,761.92"
1612,"$165,765.56"
1613,"$159,616.17"
1614,"$113,379.73"
1615,"$87,319.91"
1616,"$83,734.51"
1617,"$88,424.22"
1618,"$125,139.80"
1619,"$130,876.94"
1620,"$159,792.19"
1621,"$138,326.38"
1622,"$145,824.08"
1623,"$251,551.41"
1624,"$201,280.22"
1625,"$125,387.03"
1626,"$165,029.88"
1627,"$183,312.78"
1628,"$256,986.36"
1629,"$178,699.75"
1630,"$332,032.56"
1631,"$209,423.78"
1632,"$256,804.23"
1633,"$174,259.34"
1634,"$185,357.02"
1635,"$181,680.58"
1636,"$162,841.02"
1637,"$182,829.02"
1638,"$208,551.97"
1639,"$182,795.55"
1640,"$241,173.23"
1641,"$186,979.80"
1642,"$224,491.20"
1643,"$227,073.39"
1644,"$228,756.88"
1645,"$183,049.59"
1646,"$160,805.69"
1647,"$161,294.47"
1648,"$139,624.16"
1649,"$138,256.31"
1650,"$126,358.70"
1651,"$124,830.23"
1652,"$95,475.39"
1653,"$97,285.50"
1654,"$152,646.23"
1655,"$147,403.95"
1656,"$148,238.88"
1657,"$150,526.73"
1658,"$150,904.94"
1659,"$127,584.46"
1660,"$148,758.27"
1661,"$469,842.69"
1662,"$379,270.19"
1663,"$378,347.78"
1664,"$462,782.62"
1665,"$323,493.97"
1666,"$329,949.78"
1667,"$342,938.59"
1668,"$328,425.59"
1669,"$299,409.38"
1670,"$340,447.91"
1671,"$260,441.14"
1672,"$455,260.59"
1673,"$315,360.84"
1674,"$266,508.53"
